"ID_REF"	"GSM3143969"	"GSM3143970"	"GSM3143971"	"GSM3143972"	"GSM3143973"	"GSM3143974"	"GSM3143975"	"GSM3143976"	"GSM3143977"	"GSM3143978"	"GSM3143979"	"GSM3143980"
"100009613_at"	-0.018689427	-0.074045064	0.034262831	0.004130451	0.090053122	-0.133777059	-0.112599249	0.041677335	-0.14075264	0.061730571	0.01208606	-0.03936193
"100009676_at"	-0.06349804	-0.208831299	-0.11181526	-0.197900692	-0.06769469	-0.163790618	-0.253551064	-0.227742292	-0.243488606	0.104205755	-0.081041394	0.025745191
"10000_at"	0.199903201	0.401896861	0.692167759	0.347720131	0.384748485	0.769294934	0.577520238	0.471744737	0.488412618	0.740754128	0.761795117	0.580636747
"10001_at"	1.065728213	1.336017916	1.500453079	1.56360001	1.608989479	1.734291187	1.54607351	1.64126583	1.560643029	1.818909297	1.676614985	1.624463138
"10002_at"	0.058856937	-0.059809307	0.073972208	-0.114850449	-0.12355587	-0.015004989	-0.086897436	0.180038788	-0.042833653	-0.142506827	0.039049071	-0.23837387
"100033411_at"	0.18493963	0.341644609	0.275275545	0.509961163	0.334615314	0.449703393	0.387871279	0.380627936	0.325209557	0.349362994	0.4069454	0.412118916
"100033413_at"	-0.035259843	-0.11921453	0.016197674	-0.119771541	-0.073478069	-0.194278261	-0.179718335	-0.288423438	-0.20610092	-0.19759604	-0.168148505	-0.079873436
"100033422_at"	-0.071512829	0.153340982	-0.026575281	0.014448129	0.018523539	0.09965376	0.018528461	-0.04399428	-0.034346731	0.088077201	0.023223103	-0.018362574
"100033423_at"	0.013762564	-0.22482979	-0.049034406	-0.14945509	-0.194624764	-0.370593873	-0.322904685	-0.425392568	-0.201936529	-0.212715484	-0.293496956	-0.046648639
"100033424_at"	-0.070968698	-0.049100606	-0.11071361	-0.132582868	-0.018250719	-0.014230193	-0.073981736	-0.161880601	-0.069932804	-0.134026826	-0.098978186	-0.205897634
"100033425_at"	-0.073897566	-0.182917423	-0.063291525	-0.265953791	-0.182015218	-0.242892879	-0.160705043	-0.054911939	-0.027429453	-0.114608599	-0.10079795	-0.281519176
"100033426_at"	-0.028727571	0.00545502	-0.050401893	0.168044449	-0.02263489	0.163002988	-0.179359558	-0.189143294	-0.106334952	0.079037787	-0.034793646	0.406390622
"100033427_at"	2.47281157	2.53960424	2.364498382	3.493112097	3.405057945	2.568245007	2.247411103	2.165622663	2.07110768	2.85180481	2.734351365	2.212907097
"100033428_at"	-0.020462748	-0.178892355	-0.203533109	-0.118579077	-0.036824592	-0.205491339	-0.158850444	-0.224966391	-0.247187859	-0.126447223	-0.215906559	-0.190744724
"100033430_at"	-0.10499022	-0.038910708	-0.022084889	-0.081009115	-0.037723637	-0.049314569	-0.165136521	-0.073248192	-0.066432058	-0.035050113	0.019320732	0.154468526
"100033431_at"	0.046542605	0.204130308	0.0437527	-0.001829324	0.12781582	0.100921125	0.047878234	0.100286605	0.130007674	0.256670538	0.188284303	0.173963742
"100033432_at"	0.046075356	0.48945709	0.328561063	0.073356499	0.16792524	0.903017471	0.307850588	0.320634201	0.468604772	0.898592069	0.577752182	1.092938316
"100033434_at"	1.113195829	0.82829136	0.734020725	0.978850301	1.181755517	0.702163182	0.742381451	0.656157398	0.5842623	1.043660881	0.884541068	0.76459917
"100033435_at"	-0.127933251	-0.254965957	-0.254173986	-0.036569248	-0.132337717	-0.293723722	-0.21789623	-0.359689253	-0.309025616	-0.231456084	-0.355767688	-0.263369969
"100033436_at"	-0.094098689	-0.134459616	-0.07173194	-0.104020657	-0.119276581	-0.072924238	-0.142534369	-0.021167034	-0.16737942	-0.095077849	-0.148991366	-0.019587087
"100033437_at"	-0.173107197	-0.075630827	-0.124249789	-0.140239972	-0.118029122	-0.11718686	-0.004334212	-0.19101046	-0.1674216	-0.122692302	-0.165143176	-0.150711835
"100033438_at"	0.005451872	-0.186266428	0.0560327	-0.077206265	-0.12653861	0.03627557	-0.090783518	0.025897731	-0.131916941	-0.090297565	-0.127857905	-0.077383615
"100033439_at"	0.117184958	-0.00652473	0.124438153	-0.132593666	0.10973013	0.178169028	0.229832179	0.087761783	-0.014487451	0.007350621	-0.100300443	0.140973906
"100033440_at"	-0.165098432	-0.244499248	-0.20040299	-0.196929413	-0.103355896	-0.278136312	-0.293832287	-0.165803071	-0.261559467	-0.246892644	-0.284129147	-0.261222497
"100033441_at"	0.045917531	-0.079497688	-0.145958006	-0.060778773	-0.091225744	-0.159447171	-0.081042424	-0.149375614	-0.08450506	-0.141894023	-0.044591459	-0.109529685
"100033445_at"	0.153738955	0.263799934	0.110365837	0.202388322	0.292141709	0.049399028	-0.008216322	0.041868862	0.083028493	0.00218577	0.030360671	0.036918179
"100033447_at"	0.03223159	-0.029765033	-0.191021928	0.060110358	-0.005254048	-0.25494483	-0.237563185	0.092110563	-0.011562583	-0.11844528	-0.06207011	-0.25516466
"100033451_at"	0.069008284	-0.03285526	-0.053202352	0.187228576	0.024973067	-0.104108772	0.126228062	-0.018619574	-0.002688141	0.030749109	-0.075546735	-0.041752242
"100033453_at"	-0.00888364	-0.073290305	-0.103893517	0.030904107	0.067201217	0.064565714	-0.234747469	-0.172760241	-0.020733706	-0.090158321	-0.01453411	-0.089513825
"100033603_at"	-0.033798541	-0.04325722	-0.058316093	-0.036007994	-0.060973558	-0.014709503	-0.017838017	-0.034459421	-0.004298235	0.004262862	-0.035881886	-0.009804887
"100033801_at"	-0.107668168	-0.251690678	-0.202695262	-0.135498501	-0.15959197	-0.130927125	-0.236907463	-0.240894481	-0.200880883	-0.206592004	-0.201362295	-0.208082342
